Length(mm) ,Width(mm),Freq (GHz),S11(dB)
2.216,2.8205,39.88,-20.20708
2.215,2.8194,39.89,-20.23997
2.214,2.8182,39.9,-20.27286
2.213,2.8171,39.91,-20.30575
2.212,2.816,39.92,-20.33864
2.211,2.8149,39.93,-20.37153
2.211,2.8137,39.94,-20.40442
2.21,2.8126,39.95,-20.43731
2.209,2.8115,39.96,-20.4702
2.208,2.8104,39.97,-20.50309
2.207,2.8093,39.98,-20.53598
2.206,2.8081,39.99,-20.56887
2.205,2.807,40,-20.60176
2.204,2.8059,40.01,-20.63465
2.203,2.8048,40.02,-20.66754
2.202,2.8036,40.03,-20.70043
2.201,2.8025,40.04,-20.73332
2.2,2.8014,40.05,-20.76621
2.199,2.8003,40.06,-20.7991
2.198,2.7992,40.07,-20.83199
2.197,2.798,40.08,-20.86488
2.196,2.7969,40.09,-20.89777
2.195,2.7958,40.1,-20.93066
2.194,2.7947,40.11,-20.96355
2.193,2.7935,40.12,-20.99644
2.192,2.7924,40.13,-21.02933
2.191,2.7913,40.14,-21.06222
2.19,2.7902,40.15,-21.09511
2.189,2.7891,40.16,-21.128
2.188,2.7879,40.17,-21.16089
2.187,2.7868,40.18,-21.19378
2.186,2.7857,40.19,-21.22667
2.185,2.7846,40.2,-21.25956
2.184,2.7834,40.21,-21.29245
2.183,2.7823,40.22,-21.32534
2.182,2.7812,40.23,-21.35823
2.181,2.7801,40.24,-21.39112
2.18,2.779,40.25,-21.42401
2.179,2.7778,40.26,-21.4569
2.179,2.7767,40.27,-21.48979
2.178,2.7756,40.28,-21.52268
2.177,2.7745,40.29,-21.55557
2.176,2.7733,40.3,-21.58846
2.175,2.7722,40.31,-21.62135
2.174,2.7711,40.32,-21.65424
2.173,2.77,40.33,-21.68713
2.172,2.7689,40.34,-21.72002
2.171,2.7677,40.35,-21.75291
2.17,2.7666,40.36,-21.7858
2.169,2.7655,40.37,-21.81869
2.168,2.7644,40.38,-21.85158
2.167,2.7632,40.39,-21.88447
2.166,2.7621,40.4,-21.91736
2.165,2.761,40.41,-21.95025
2.164,2.7599,40.42,-21.98314
2.163,2.7588,40.43,-22.01603
2.162,2.7576,40.44,-22.04892
2.161,2.7565,40.45,-22.08181
2.16,2.7554,40.46,-22.1147
2.159,2.7543,40.47,-22.14759
2.158,2.7531,40.48,-22.18048
2.157,2.752,40.49,-22.21337
2.156,2.7509,40.5,-22.24626
2.155,2.7498,40.51,-22.27915
2.154,2.7487,40.52,-22.31204
2.153,2.7475,40.53,-22.34493
2.152,2.7464,40.54,-22.37782
2.151,2.7453,40.55,-22.41071
2.15,2.7442,40.56,-22.4436
2.149,2.743,40.57,-22.47649
2.148,2.7419,40.58,-22.50938
2.148,2.7408,40.59,-22.54227
2.147,2.7397,40.6,-22.57516
2.146,2.7386,40.61,-22.60805
2.145,2.7374,40.62,-22.64094
2.144,2.7363,40.63,-22.67383
2.143,2.7352,40.64,-22.70672
2.142,2.7341,40.65,-22.73961
2.141,2.7329,40.66,-22.7725
2.14,2.7318,40.67,-22.80539
2.139,2.7307,40.68,-22.83828
2.138,2.7296,40.69,-22.87117
2.137,2.7284,40.7,-22.90406
2.136,2.7273,40.71,-22.93695
2.135,2.7262,40.72,-22.96984
2.134,2.7251,40.73,-23.00273
2.133,2.724,40.74,-23.03562
2.132,2.7228,40.75,-23.06851
2.131,2.7217,40.76,-23.1014
2.13,2.7206,40.77,-23.13429
2.129,2.7195,40.78,-23.16718
2.128,2.7183,40.79,-23.20007
2.127,2.7172,40.8,-23.23296
2.126,2.7161,40.81,-23.26585
2.125,2.715,40.82,-23.29874
2.124,2.7139,40.83,-23.33163
2.123,2.7127,40.84,-23.36452
2.122,2.7116,40.85,-23.39741
2.121,2.7105,40.86,-23.4303
2.12,2.7094,40.87,-23.46319
2.119,2.7082,40.88,-23.49608
2.118,2.7071,40.89,-23.52897
2.117,2.706,40.9,-23.56186
2.117,2.7049,40.91,-23.59475
2.116,2.7038,40.92,-23.62764
2.115,2.7026,40.93,-23.66053
2.114,2.7015,40.94,-23.69342
2.113,2.7004,40.95,-23.72631
2.112,2.6993,40.96,-23.7592
2.111,2.6981,40.97,-23.79209
2.11,2.697,40.98,-23.82498
2.109,2.6959,40.99,-23.85787
2.108,2.6948,41,-23.89076
2.107,2.6937,41.01,-23.92365
2.106,2.6925,41.02,-23.95654
2.105,2.6914,41.03,-23.98943
2.104,2.6903,41.04,-24.02232
2.103,2.6892,41.05,-24.05521
2.102,2.688,41.06,-24.0881
2.101,2.6869,41.07,-24.12099
2.1,2.6858,41.08,-24.15388
2.099,2.6847,41.09,-24.18677
2.098,2.6836,41.1,-24.21966
2.097,2.6824,41.11,-24.25255
2.096,2.6813,41.12,-17.25956
2.095,2.6802,41.13,-17.29245
2.094,2.6791,41.14,-17.32534
2.093,2.6779,41.15,-17.35823
2.092,2.6768,41.16,-17.39112
2.091,2.6757,41.17,-17.42401
2.09,2.6746,41.18,-17.4569
2.089,2.6735,41.19,-17.48979
2.088,2.6723,41.2,-17.52268
2.087,2.6712,41.21,-17.55557
2.086,2.6701,41.22,-17.58846
2.086,2.669,41.23,-17.62135
2.085,2.6678,41.24,-17.65424
2.084,2.6667,41.25,-17.68713
2.083,2.6656,41.26,-17.72002
2.082,2.6645,41.27,-17.75291
2.081,2.6634,41.28,-17.7858
2.08,2.6622,41.29,-17.81869
2.079,2.6611,41.3,-17.85158
2.078,2.66,41.31,-17.88447
2.077,2.6589,41.32,-17.91736
2.076,2.6577,41.33,-17.95025
2.075,2.6566,41.34,-17.98314
2.074,2.6555,41.35,-18.01603
2.073,2.6544,41.36,-18.04892
2.072,2.6533,41.37,-18.08181
2.071,2.6521,41.38,-18.1147
2.07,2.651,41.39,-18.14759
2.069,2.6499,41.4,-18.18048
2.068,2.6488,41.41,-18.21337
2.067,2.6476,41.42,-18.24626
2.066,2.6465,41.43,-18.27915
2.065,2.6454,41.44,-18.31204
2.064,2.6443,41.45,-18.34493
2.063,2.6432,41.46,-18.37782
2.062,2.642,41.47,-18.41071
2.061,2.6409,41.48,-18.4436
2.06,2.6398,41.49,-18.47649
2.059,2.6387,41.5,-18.50938
2.058,2.6375,41.51,-18.54227
2.057,2.6364,41.52,-18.57516
2.056,2.6353,41.53,-18.60805
2.055,2.6342,41.54,-18.64094
2.055,2.633,41.55,-18.67383
2.054,2.6319,41.56,-18.70672
2.053,2.6308,41.57,-18.73961
2.052,2.6297,41.58,-18.7725
2.051,2.6286,41.59,-18.80539
2.05,2.6274,41.6,-18.83828
2.049,2.6263,41.61,-18.87117
2.048,2.6252,41.62,-18.90406
2.047,2.6241,41.63,-18.93695
2.046,2.6229,41.64,-18.96984
2.045,2.6218,41.65,-19.00273
2.044,2.6207,41.66,-19.03562
2.043,2.6196,41.67,-10.10978
2.042,2.6185,41.68,-10.33624
2.041,2.6173,41.69,-10.5627
2.04,2.6162,41.7,-10.78916
2.039,2.6151,41.71,-11.01562
2.038,2.614,41.72,-11.24208
2.037,2.6128,41.73,-11.46854
2.036,2.6117,41.74,-11.695
2.035,2.6106,41.75,-11.92146
2.034,2.6095,41.76,-12.14792
2.033,2.6084,41.77,-12.37438
2.032,2.6072,41.78,-12.60084
2.031,2.6061,41.79,-12.8273
2.03,2.605,41.8,-13.05376
2.029,2.6039,41.81,-13.28022
2.028,2.6027,41.82,-13.50668
2.027,2.6016,41.83,-13.73314
2.026,2.6005,41.84,-13.9596
2.025,2.5994,41.85,-14.18606
2.024,2.5983,41.86,-14.41252
2.024,2.5971,41.87,-14.63898
2.023,2.596,41.88,-14.86544
2.022,2.5949,41.89,-15.0919
2.021,2.5938,41.9,-15.31836
2.02,2.5926,41.91,-15.54482
2.019,2.5915,41.92,-15.77128
2.018,2.5904,41.93,-15.99774
2.017,2.5893,41.94,-16.2242
2.016,2.5882,41.95,-16.45066
2.015,2.587,41.96,-16.67712
2.014,2.5859,41.97,-16.90358
2.013,2.5848,41.98,-17.13004
2.012,2.5837,41.99,-17.3565
2.011,2.5825,42,-17.58296
2.01,2.5814,42.01,-17.80942
2.009,2.5803,42.02,-18.03588
2.008,2.5792,42.03,-18.26234
2.007,2.5781,42.04,-18.4888
2.006,2.5769,42.05,-18.71526
2.005,2.5758,42.06,-18.94172
2.004,2.5747,42.07,-18.95172
2.003,2.5736,42.08,-18.96172
2.002,2.5724,42.09,-18.97172
2.001,2.5713,42.1,-18.98172
2,2.5702,42.11,-18.99172
1.999,2.5691,42.12,-19.00172
1.998,2.568,42.13,-19.01172
1.997,2.5668,42.14,-19.02172
1.996,2.5657,42.15,-19.03172
1.995,2.5646,42.16,-19.04172
1.994,2.5635,42.17,-19.40337
1.993,2.5623,42.18,-18.24662
1.993,2.5612,42.19,-18.19456
1.992,2.5601,42.2,-18.1425
1.991,2.559,42.21,-18.09044
1.99,2.5579,42.22,-18.03838
1.989,2.5567,42.23,-17.98632
1.988,2.5556,42.24,-17.93426
1.987,2.5545,42.25,-17.8822
1.986,2.5534,42.26,-17.83014
1.985,2.5522,42.27,-17.77808
1.984,2.5511,42.28,-17.72602
1.983,2.55,42.29,-17.67396
1.982,2.5489,42.3,-17.6219
1.981,2.5477,42.31,-17.56984
1.98,2.5466,42.32,-17.51778
1.979,2.5455,42.33,-17.46572
1.978,2.5444,42.34,-17.41366
1.977,2.5433,42.35,-17.3616
1.976,2.5421,42.36,-17.30954
1.975,2.541,42.37,-17.25748
1.974,2.5399,42.38,-17.20542
1.973,2.5388,42.39,-17.15336
1.972,2.5376,42.4,-17.1013
1.971,2.5365,42.41,-17.04924
1.97,2.5354,42.42,-16.99718
1.969,2.5343,42.43,-16.94512
1.968,2.5332,42.44,-16.89306
1.967,2.532,42.45,-16.841
1.966,2.5309,42.46,-16.78894
1.965,2.5298,42.47,-16.73688
1.964,2.5287,42.48,-16.68482
1.963,2.5275,42.49,-16.63276
1.962,2.5264,42.5,-16.5807
1.962,2.5253,42.51,-16.52864
1.961,2.5242,42.52,-16.47658
1.96,2.5231,42.53,-16.42452
1.959,2.5219,42.54,-16.37246
1.958,2.5208,42.55,-16.3204
1.957,2.5197,42.56,-16.26834
1.956,2.5186,42.57,-16.21628
1.955,2.5174,42.58,-16.16422
1.954,2.5163,42.59,-16.11216
1.953,2.5152,42.6,-16.0601
1.952,2.5141,42.61,-16.00804
1.951,2.513,42.62,-15.95598
1.95,2.5118,42.63,-15.90392
1.949,2.5107,42.64,-15.85186
1.948,2.5096,42.65,-15.7998
1.947,2.5085,42.66,-15.74774
1.946,2.5073,42.67,-15.69568
1.945,2.5062,42.68,-15.64362
1.944,2.5051,42.69,-15.59156
1.943,2.504,42.7,-15.5395
1.942,2.5029,42.71,-15.48744
1.941,2.5017,42.72,-15.43538
1.94,2.5006,42.73,-15.38332
1.939,2.4995,42.74,-15.33126
1.938,2.4984,42.75,-15.2792
1.937,2.4972,42.76,-15.22714
1.936,2.4961,42.77,-15.17508
1.935,2.495,42.78,-15.12302
1.934,2.4939,42.79,-15.07096
1.933,2.4928,42.8,-15.0189
1.932,2.4916,42.81,-14.96684
1.931,2.4905,42.82,-14.91478
1.931,2.4894,42.83,-14.86272
1.93,2.4883,42.84,-14.81066
1.929,2.4871,42.85,-14.7586
1.928,2.486,42.86,-14.70654
1.927,2.4849,42.87,-14.65448
1.926,2.4838,42.88,-14.60242
1.925,2.4827,42.89,-14.55036
1.924,2.4815,42.9,-14.4983
1.923,2.4804,42.91,-14.44624
1.922,2.4793,42.92,-14.39418
1.921,2.4782,42.93,-19.06294
1.92,2.477,42.94,-19.09583
1.919,2.4759,42.95,-19.12872
1.918,2.4748,42.96,-19.16161
1.917,2.4737,42.97,-19.1945
1.916,2.4726,42.98,-19.22739
1.915,2.4714,42.99,-19.26028
1.914,2.4703,43,-19.29317
1.913,2.4692,43.01,-19.32606
1.912,2.4681,43.02,-19.35895
1.911,2.4669,43.03,-19.39184
1.91,2.4658,43.04,-19.42473
1.909,2.4647,43.05,-19.45762
1.908,2.4636,43.06,-19.49051
1.907,2.4625,43.07,-19.5234
1.906,2.4613,43.08,-19.55629
1.905,2.4602,43.09,-19.58918
1.904,2.4591,43.1,-19.62207
1.903,2.458,43.11,-19.65496
1.902,2.4568,43.12,-19.68785
1.901,2.4557,43.13,-19.72074
1.9,2.4546,43.14,-19.75363
1.899,2.4535,43.15,-19.78652
1.899,2.4523,43.16,-19.81941
1.898,2.4512,43.17,-19.8523
1.897,2.4501,43.18,-19.88519
1.896,2.449,43.19,-19.91808
1.895,2.4479,43.2,-19.95097
1.894,2.4467,43.21,-19.98386
1.893,2.4456,43.22,-20.01675
1.892,2.4445,43.23,-20.04964
1.891,2.4434,43.24,-20.08253
1.89,2.4422,43.25,-20.11542
1.889,2.4411,43.26,-20.14831
1.888,2.44,43.27,-20.1812
1.887,2.4389,43.28,-20.21409
1.886,2.4378,43.29,-20.24698
1.885,2.4366,43.3,-20.27987
1.884,2.4355,43.31,-20.31276
1.883,2.4344,43.32,-20.34565
1.882,2.4333,43.33,-20.37854
1.881,2.4321,43.34,-20.41143
1.88,2.431,43.35,-20.44432
1.879,2.4299,43.36,-20.47721
1.878,2.4288,43.37,-20.5101
1.877,2.4277,43.38,-20.54299
1.876,2.4265,43.39,-20.57588
1.875,2.4254,43.4,-20.60877
1.874,2.4243,43.41,-20.64166
1.873,2.4232,43.42,-20.67455
1.872,2.422,43.43,-20.70744
1.871,2.4209,43.44,-20.74033
1.87,2.4198,43.45,-20.77322
1.869,2.4187,43.46,-20.80611
1.868,2.4176,43.47,-20.839
1.868,2.4164,43.48,-20.87189
1.867,2.4153,43.49,-20.90478
1.866,2.4142,43.5,-20.93767
1.865,2.4131,43.51,-20.97056
1.864,2.4119,43.52,-21.00345
1.863,2.4108,43.53,-21.03634
1.862,2.4097,43.54,-21.06923
1.861,2.4086,43.55,-21.10212
1.86,2.4075,43.56,-21.13501
1.859,2.4063,43.57,-21.1679
1.858,2.4052,43.58,-21.20079
1.857,2.4041,43.59,-21.23368
1.856,2.403,43.6,-21.26657
1.855,2.4018,43.61,-21.29946
1.854,2.4007,43.62,-21.33235
1.853,2.3996,43.63,-21.36524
1.852,2.3985,43.64,-21.39813
1.851,2.3974,43.65,-21.43102
1.85,2.3962,43.66,-21.46391
1.849,2.3951,43.67,-21.4968
1.848,2.394,43.68,-21.52969
1.847,2.3929,43.69,-21.56258
1.846,2.3917,43.7,-21.59547
1.845,2.3906,43.71,-21.62836
1.844,2.3895,43.72,-21.66125
1.843,2.3884,43.73,-21.69414
1.842,2.3873,43.74,-21.72703
1.841,2.3861,43.75,-21.75992
1.84,2.385,43.76,-21.79281
1.839,2.3839,43.77,-21.8257
1.838,2.3828,43.78,-21.85859
1.837,2.3816,43.79,-21.89148
1.837,2.3805,43.8,-21.92437
1.836,2.3794,43.81,-21.95726
1.835,2.3783,43.82,-21.99015
1.834,2.3772,43.83,-22.02304
1.833,2.376,43.84,-22.05593
1.832,2.3749,43.85,-22.08882
1.831,2.3738,43.86,-22.12171
1.83,2.3727,43.87,-22.1546
1.829,2.3715,43.88,-22.18749
1.828,2.3704,43.89,-22.22038
1.827,2.3693,43.9,-22.25327
1.826,2.3682,43.91,-22.28616
1.825,2.3671,43.92,-22.31905
1.824,2.3659,43.93,-22.35194
1.823,2.3648,43.94,-22.38483
1.822,2.3637,43.95,-22.41772
1.821,2.3626,43.96,-22.45061
1.82,2.3614,43.97,-22.4835
1.819,2.3603,43.98,-22.51639
1.818,2.3592,43.99,-22.54928
1.817,2.3581,44,-22.58217
1.816,2.3569,44.01,-22.61506
1.815,2.3558,44.02,-22.64795
1.814,2.3547,44.03,-22.68084
1.813,2.3536,44.04,-22.71373
1.812,2.3525,44.05,-22.74662
1.811,2.3513,44.06,-22.77951
1.81,2.3502,44.07,-22.8124
1.809,2.3491,44.08,-22.84529
1.808,2.348,44.09,-22.87818
1.807,2.3468,44.1,-22.91107
1.806,2.3457,44.11,-22.94396
1.806,2.3446,44.12,-22.97685
1.805,2.3435,44.13,-23.00974
1.804,2.3424,44.14,-23.04263
1.803,2.3412,44.15,-23.07552
1.802,2.3401,44.16,-23.10841
1.801,2.339,44.17,-23.1413
1.8,2.3379,44.18,-23.17419
1.799,2.3367,44.19,-23.20708
1.798,2.3356,44.2,-23.23997
1.797,2.3345,44.21,-23.27286
1.796,2.3334,44.22,-23.30575
1.795,2.3323,44.23,-23.33864
1.794,2.3311,44.24,-23.37153
1.793,2.33,44.25,-23.40442
1.792,2.3289,44.26,-23.43731
1.791,2.3278,44.27,-23.4702
1.79,2.3266,44.28,-23.50309
1.789,2.3255,44.29,-23.53598
1.788,2.3244,44.3,-23.56887
1.787,2.3233,44.31,-23.60176
1.786,2.3222,44.32,-23.63465
1.785,2.321,44.33,-23.66754
1.784,2.3199,44.34,-23.70043
1.783,2.3188,44.35,-23.73332
1.782,2.3177,44.36,-23.76621
1.781,2.3165,44.37,-23.7991
1.78,2.3154,44.38,-23.83199
1.779,2.3143,44.39,-23.86488
1.778,2.3132,44.4,-23.89777
1.777,2.3121,44.41,-23.93066
1.776,2.3109,44.42,-23.96355
1.775,2.3098,44.43,-23.99644
1.775,2.3087,44.44,-24.02933
1.774,2.3076,44.45,-24.06222
1.773,2.3064,44.46,-24.09511
1.772,2.3053,44.47,-24.128
1.771,2.3042,44.48,-24.16089
1.77,2.3031,44.49,-24.19378
1.769,2.302,44.5,-24.22667
1.768,2.3008,44.51,-24.25956
1.767,2.2997,44.52,-24.29245
1.766,2.2986,44.53,-24.32534
1.765,2.2975,44.54,-24.35823
1.764,2.2963,44.55,-24.39112
1.763,2.2952,44.56,-24.42401
1.762,2.2941,44.57,-24.4569
1.761,2.293,44.58,-24.48979
1.76,2.2919,44.59,-24.52268
1.759,2.2907,44.6,-24.55557
1.758,2.2896,44.61,-24.58846
1.757,2.2885,44.62,-24.62135
1.756,2.2874,44.63,-24.65424
1.755,2.2862,44.64,-24.68713
1.754,2.2851,44.65,-24.72002
1.753,2.284,44.66,-24.75291
1.752,2.2829,44.67,-24.7858
1.751,2.2818,44.68,-24.81869
1.75,2.2806,44.69,-24.85158
1.749,2.2795,44.7,-24.88447
1.748,2.2784,44.71,-24.91736
1.747,2.2773,44.72,-24.95025
1.746,2.2761,44.73,-24.98314
1.745,2.275,44.74,-25.01603
1.744,2.2739,44.75,-25.04892
1.744,2.2728,44.76,-25.08181
1.743,2.2717,44.77,-25.1147
1.742,2.2705,44.78,-25.14759
1.741,2.2694,44.79,-25.18048
1.74,2.2683,44.8,-25.21337
1.739,2.2672,44.81,-25.24626
1.738,2.266,44.82,-25.27915
1.737,2.2649,44.83,-25.31204
1.736,2.2638,44.84,-25.34493
1.735,2.2627,44.85,-25.37782
1.734,2.2615,44.86,-25.41071
1.733,2.2604,44.87,-25.4436
1.732,2.2593,44.88,-25.47649
1.731,2.2582,44.89,-25.50938
1.73,2.2571,44.9,-25.54227
1.729,2.2559,44.91,-25.57516
1.728,2.2548,44.92,-25.60805
1.727,2.2537,44.93,-25.64094
1.726,2.2526,44.94,-25.67383
1.725,2.2514,44.95,-25.70672
1.724,2.2503,44.96,-25.73961
1.723,2.2492,44.97,-25.7725
1.722,2.2481,44.98,-25.80539
1.721,2.247,44.99,-25.83828
1.72,2.2458,45,-25.87117
2.931,3.6488,32.5,-25.90406
2.93,3.6477,32.51,-25.93695
2.929,3.6465,32.52,-25.96984
2.928,3.6454,32.53,-26.00273
2.927,3.6443,32.54,-26.03562
2.926,3.6432,32.55,-26.06851
2.926,3.642,32.56,-26.1014
2.925,3.6409,32.57,-26.13429
2.924,3.6398,32.58,-26.16718
2.923,3.6387,32.59,-26.20007
2.922,3.6376,32.6,-26.23296
2.921,3.6364,32.61,-26.26585
2.92,3.6353,32.62,-26.29874
2.919,3.6342,32.63,-26.33163
2.918,3.6331,32.64,-26.36452
2.917,3.6319,32.65,-26.39741
2.916,3.6308,32.66,-26.4303
2.915,3.6297,32.67,-26.46319
2.914,3.6286,32.68,-26.49608
2.913,3.6275,32.69,-26.52897
2.912,3.6263,32.7,-26.56186
2.911,3.6252,32.71,-26.59475
2.91,3.6241,32.72,-26.62764
2.909,3.623,32.73,-26.66053
2.908,3.6218,32.74,-26.69342
2.907,3.6207,32.75,-26.72631
2.906,3.6196,32.76,-26.7592
2.905,3.6185,32.77,-26.79209
2.904,3.6174,32.78,-26.82498
2.903,3.6162,32.79,-26.85787
2.902,3.6151,32.8,-26.89076
2.901,3.614,32.81,-26.92365
2.9,3.6129,32.82,-26.95654
2.899,3.6117,32.83,-26.98943
2.898,3.6106,32.84,-27.02232
2.897,3.6095,32.85,-27.05521
2.896,3.6084,32.86,-27.0881
2.895,3.6073,32.87,-27.12099
2.895,3.6061,32.88,-27.15388
2.894,3.605,32.89,-27.18677
2.893,3.6039,32.9,-27.21966
2.892,3.6028,32.91,-27.25255
2.891,3.6016,32.92,-22.01603
2.89,3.6005,32.93,-22.04892
2.889,3.5994,32.94,-22.08181
2.888,3.5983,32.95,-22.1147
2.887,3.5972,32.96,-22.14759
2.886,3.596,32.97,-22.18048
2.885,3.5949,32.98,-22.21337
2.884,3.5938,32.99,-22.24626
2.883,3.5927,33,-22.27915
2.882,3.5915,33.01,-22.31204
2.881,3.5904,33.02,-22.34493
2.88,3.5893,33.03,-22.37782
2.879,3.5882,33.04,-22.41071
2.878,3.5871,33.05,-22.4436
2.877,3.5859,33.06,-22.47649
2.876,3.5848,33.07,-22.50938
2.875,3.5837,33.08,-22.54227
2.874,3.5826,33.09,-22.57516
2.873,3.5814,33.1,-22.60805
2.872,3.5803,33.11,-22.64094
2.871,3.5792,33.12,-22.67383
2.87,3.5781,33.13,-22.70672
2.869,3.577,33.14,-22.73961
2.868,3.5758,33.15,-22.7725
2.867,3.5747,33.16,-22.80539
2.866,3.5736,33.17,-22.83828
2.865,3.5725,33.18,-22.87117
2.864,3.5713,33.19,-22.90406
2.864,3.5702,33.2,-22.93695
2.863,3.5691,33.21,-22.96984
2.862,3.568,33.22,-23.00273
2.861,3.5668,33.23,-23.03562
2.86,3.5657,33.24,-23.06851
2.859,3.5646,33.25,-23.1014
2.858,3.5635,33.26,-23.13429
2.857,3.5624,33.27,-23.16718
2.856,3.5612,33.28,-23.20007
2.855,3.5601,33.29,-23.23296
2.854,3.559,33.3,-23.26585
2.853,3.5579,33.31,-23.29874
2.852,3.5567,33.32,-23.33163
2.851,3.5556,33.33,-23.36452
2.85,3.5545,33.34,-23.39741
2.849,3.5534,33.35,-23.4303
2.848,3.5523,33.36,-23.46319
2.847,3.5511,33.37,-23.49608
2.846,3.55,33.38,-23.52897
2.845,3.5489,33.39,-23.56186
2.844,3.5478,33.4,-23.59475
2.843,3.5466,33.41,-23.62764
2.842,3.5455,33.42,-23.66053
2.841,3.5444,33.43,-23.69342
2.84,3.5433,33.44,-23.72631
2.839,3.5422,33.45,-23.7592
2.838,3.541,33.46,-23.79209
2.837,3.5399,33.47,-23.82498
2.836,3.5388,33.48,-23.85787
2.835,3.5377,33.49,-23.89076
2.834,3.5365,33.5,-23.92365
2.833,3.5354,33.51,-23.95654
2.833,3.5343,33.52,-23.98943
2.832,3.5332,33.53,-24.02232
2.831,3.5321,33.54,-24.05521
2.83,3.5309,33.55,-24.0881
2.829,3.5298,33.56,-24.12099
2.828,3.5287,33.57,-24.15388
2.827,3.5276,33.58,-24.18677
2.826,3.5264,33.59,-24.21966
2.825,3.5253,33.6,-24.25255
2.824,3.5242,33.61,-24.28544
2.823,3.5231,33.62,-24.31833
2.822,3.522,33.63,-24.35122
2.821,3.5208,33.64,-24.38411
2.82,3.5197,33.65,-24.417
2.819,3.5186,33.66,-24.44989
2.818,3.5175,33.67,-24.48278
2.817,3.5163,33.68,-24.51567
2.816,3.5152,33.69,-24.54856
2.815,3.5141,33.7,-24.58145
2.814,3.513,33.71,-24.61434
2.813,3.5119,33.72,-24.64723
2.812,3.5107,33.73,-24.68012
2.811,3.5096,33.74,-24.71301
2.81,3.5085,33.75,-24.7459
2.809,3.5074,33.76,-24.77879
2.808,3.5062,33.77,-24.81168
2.807,3.5051,33.78,-24.84457
2.806,3.504,33.79,-24.87746
2.805,3.5029,33.8,-24.91035
2.804,3.5018,33.81,-24.94324
2.803,3.5006,33.82,-24.97613
2.802,3.4995,33.83,-25.00902
2.802,3.4984,33.84,-25.04191
2.801,3.4973,33.85,-25.0748
2.8,3.4961,33.86,-25.10769
2.799,3.495,33.87,-25.14058
2.798,3.4939,33.88,-25.17347
2.797,3.4928,33.89,-25.20636
2.796,3.4917,33.9,-25.23925
2.795,3.4905,33.91,-25.27214
2.794,3.4894,33.92,-25.30503
2.793,3.4883,33.93,-25.33792
2.792,3.4872,33.94,-25.37081
2.791,3.486,33.95,-25.4037
2.79,3.4849,33.96,-25.43659
2.789,3.4838,33.97,-25.46948
2.788,3.4827,33.98,-25.50237
2.787,3.4816,33.99,-25.53526
2.786,3.4804,34,-25.56815
2.785,3.4793,34.01,-25.60104
2.784,3.4782,34.02,-25.63393
2.783,3.4771,34.03,-25.66682
2.782,3.4759,34.04,-25.69971
2.781,3.4748,34.05,-25.7326
2.78,3.4737,34.06,-25.76549
2.779,3.4726,34.07,-25.79838
2.778,3.4714,34.08,-25.83127
2.777,3.4703,34.09,-25.86416
2.776,3.4692,34.1,-25.89705
2.775,3.4681,34.11,-25.92994
2.774,3.467,34.12,-25.96283
2.773,3.4658,34.13,-25.99572
2.772,3.4647,34.14,-26.02861
2.771,3.4636,34.15,-26.0615
2.771,3.4625,34.16,-26.09439
2.77,3.4613,34.17,-26.12728
2.769,3.4602,34.18,-26.16017
2.768,3.4591,34.19,-26.19306
2.767,3.458,34.2,-26.22595
2.766,3.4569,34.21,-26.25884
2.765,3.4557,34.22,-26.29173
2.764,3.4546,34.23,-26.32462
2.763,3.4535,34.24,-26.35751
2.762,3.4524,34.25,-26.3904
2.761,3.4512,34.26,-26.42329
2.76,3.4501,34.27,-26.45618
2.759,3.449,34.28,-26.48907
2.758,3.4479,34.29,-26.52196
2.757,3.4468,34.3,-26.55485
2.756,3.4456,34.31,-26.58774
2.755,3.4445,34.32,-26.62063
2.754,3.4434,34.33,-26.65352
2.753,3.4423,34.34,-26.68641
2.752,3.4411,34.35,-26.7193
2.751,3.44,34.36,-26.75219
2.75,3.4389,34.37,-26.78508
2.749,3.4378,34.38,-26.81797
2.748,3.4367,34.39,-26.85086
2.747,3.4355,34.4,-26.88375
2.746,3.4344,34.41,-26.91664
2.745,3.4333,34.42,-26.94953
2.744,3.4322,34.43,-26.98242
2.743,3.431,34.44,-27.01531
2.742,3.4299,34.45,-27.0482
2.741,3.4288,34.46,-27.08109
2.74,3.4277,34.47,-27.11398
2.74,3.4266,34.48,-27.14687
2.739,3.4254,34.49,-27.17976
2.738,3.4243,34.5,-27.21265
2.737,3.4232,34.51,-27.24554
2.736,3.4221,34.52,-27.27843
2.735,3.4209,34.53,-27.31132
2.734,3.4198,34.54,-27.34421
2.733,3.4187,34.55,-27.3771
2.732,3.4176,34.56,-27.40999
2.731,3.4165,34.57,-27.44288
2.73,3.4153,34.58,-27.47577
2.729,3.4142,34.59,-27.50866
2.728,3.4131,34.6,-27.54155
2.727,3.412,34.61,-27.57444
2.726,3.4108,34.62,-27.60733
2.725,3.4097,34.63,-27.64022
2.724,3.4086,34.64,-27.67311
2.723,3.4075,34.65,-27.706
2.722,3.4064,34.66,-27.73889
2.721,3.4052,34.67,-27.77178
2.72,3.4041,34.68,-27.80467
2.719,3.403,34.69,-27.83756
2.718,3.4019,34.7,-27.87045
2.717,3.4007,34.71,-27.90334
2.716,3.3996,34.72,-27.93623
2.715,3.3985,34.73,-27.96912
2.714,3.3974,34.74,-28.00201
2.713,3.3963,34.75,-28.0349
2.712,3.3951,34.76,-28.06779
